Pick and Ban Order - LCK 2024 Spring,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD


Week 4,Gen.G,KT Rolster,0 - 2,2,14.2,Orianna,Kalista,Vi,Corki,Taliyah,Maokai,Karma,"Senna, Nautilus","Lucian, Milio",K'Sante,Udyr,Tristana,Sejuani,Poppy,Azir,"Jarvan IV, Gwen",Viego,Mid,Bot,Support,Jungle,Top,Bot,Support,Top,Mid,Jungle,SB,https://www.youtube.com/live/rtvoSJcaxqk?si=L1Lmcv8MFmRWRtWr&t=5771
Week 4,KT Rolster,Gen.G,1 - 0,1,14.2,Maokai,Orianna,Corki,Karma,Varus,Kalista,Senna,"Lucian, Milio","Nautilus, K'Sante",Udyr,Vi,Tristana,Viego,Yone,Azir,"Taliyah, Lee Sin",Xin Zhao,Bot,Support,Top,Mid,Jungle,Bot,Support,Top,Mid,Jungle,SB,https://www.youtube.com/live/rtvoSJcaxqk?si=IwLecstQgpIS3TPM&t=2596
Week 3,Gen.G,FearX,2 - 0,1,14.1B,Orianna,Maokai,Rumble,Lucian,Varus,Senna,Kalista,"Rakan, Xayah","Renata Glasc, Azir",Udyr,Poppy,Akali,Sejuani,Yasuo,Yone,"Rell, Darius",Brand,Bot,Support,Mid,Jungle,Top,Support,Bot,Top,Mid,Jungle,SB,https://www.youtube.com/live/yejuHcIK9Cc?si=T8CCcP7zCh0BMZZB&t=16627
Week 3,FearX,Gen.G,0 - 1,2,14.1B,Maokai,Orianna,Sejuani,Rakan,Varus,K'Sante,Senna,"Nautilus, Kalista","Tahm Kench, Rumble",Corki,Yasuo,Aatrox,Irelia,Poppy,Rell,"Wukong, Sylas",Jayce,Bot,Support,Top,Jungle,Mid,Support,Bot,Mid,Jungle,Top,SB,https://www.youtube.com/live/yejuHcIK9Cc?si=dyhCgAFT4UVVT7Zx&t=13425
Week 3,Hanwha Life Esports,Nongshim RedForce,2 - 1,1,14.1B,K'Sante,Maokai,Senna,Vi,Orianna,Lucian,Sejuani,"Varus, Azir","Corki, Kalista",Poppy,Renata Glasc,Ashe,Nautilus,Udyr,Rakan,"Aatrox, Rell",Yone,Jungle,Mid,Bot,Top,Support,Bot,Mid,Jungle,Support,Top,SB,https://www.youtube.com/live/yejuHcIK9Cc?si=eLdGlfp_rJfIz-p1&t=8069
Week 3,Nongshim RedForce,Hanwha Life Esports,1 - 1,1,14.1B,Maokai,K'Sante,Vi,Senna,Sejuani,Azir,Lucian,"Milio, Rell","Nami, Orianna",Aphelios,Trundle,Akali,Nocturne,Yone,Rumble,"Udyr, Poppy",Tristana,Bot,Support,Mid,Top,Jungle,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/yejuHcIK9Cc?si=Rb1SvnzLkPMYTJbg&t=4670
Week 3,Nongshim RedForce,Hanwha Life Esports,0 - 1,2,14.1B,Maokai,K'Sante,Vi,Senna,Rumble,Azir,Lucian,"Milio, Sejuani","Nami, Corki",Aphelios,Trundle,Orianna,Poppy,Yone,Tristana,"Jax, Rell",Udyr,Bot,Support,Mid,Top,Jungle,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/yejuHcIK9Cc?si=GpMR0qfuU_rCoFOT&t=1780
Week 3,OKSavingsBank BRION,T1,0 - 2,2,14.1B,Corki,Maokai,Lucian,Nautilus,Kalista,Orianna,Varus,"Senna, Taliyah","Tristana, Rell",Vi,Aatrox,Ornn,Sejuani,Nilah,Sion,"K'Sante, Gragas",Zac,Bot,Mid,Support,Top,Jungle,Bot,Mid,Jungle,Support,Top,SB,https://www.youtube.com/live/VG9gSeFgbs8?si=dJ79539RumK1vJLw&t=18292
Week 3,T1,OKSavingsBank BRION,1 - 0,1,14.1B,Maokai,Corki,Nautilus,Lucian,Lee Sin,Kalista,Orianna,"Senna, Azir","Caitlyn, Lux",Ornn,Rell,Vi,Nocturne,Viego,Jarvan IV,"K'Sante, Poppy",Aatrox,Mid,Bot,Support,Top,Jungle,Bot,Mid,Support,Jungle,Top,SB,https://www.youtube.com/live/VG9gSeFgbs8?si=DwHqrgz-8NPmkm2G&t=15617
Week 3,DRX,KT Rolster,1 - 2,2,14.1B,Vi,Lucian,Kalista,Sejuani,Rumble,Rakan,Senna,"Varus, Orianna","Tahm Kench, Azir",Milio,Rell,Maokai,Aatrox,Lee Sin,Udyr,"Gnar, Xin Zhao",Viego,Bot,Support,Mid,Top,Jungle,Bot,Mid,Support,Top,Jungle,SB,https://www.youtube.com/live/VG9gSeFgbs8?si=gTes9cLMpl65N6N_&t=9091
